Hero,grantotal,male_total,female_total,T_1880,T_1881,T_1882,T_1883,T_1884,T_1885,T_1886,T_1887,T_1888,T_1889,T_1890,T_1891,T_1892,T_1893,T_1894,T_1895,T_1896,T_1897,T_1898,T_1899,T_1900,T_1901,T_1902,T_1903,T_1904,T_1905,T_1906,T_1907,T_1908,T_1909,T_1910,T_1911,T_1912,T_1913,T_1914,T_1915,T_1916,T_1917,T_1918,T_1919,T_1920,T_1921,T_1922,T_1923,T_1924,T_1925,T_1926,T_1927,T_1928,T_1929,T_1930,T_1931,T_1932,T_1933,T_1934,T_1935,T_1936,T_1937,T_1938,T_1939,T_1940,T_1941,T_1942,T_1943,T_1944,T_1945,T_1946,T_1947,T_1948,T_1949,T_1950,T_1951,T_1952,T_1953,T_1954,T_1955,T_1956,T_1957,T_1958,T_1959,T_1960,T_1961,T_1962,T_1963,T_1964,T_1965,T_1966,T_1967,T_1968,T_1969,T_1970,T_1971,T_1972,T_1973,T_1974,T_1975,T_1976,T_1977,T_1978,T_1979,T_1980,T_1981,T_1982,T_1983,T_1984,T_1985,T_1986,T_1987,T_1988,T_1989,T_1990,T_1991,T_1992,T_1993,T_1994,T_1995,T_1996,T_1997,T_1998,T_1999,T_2000,T_2001,T_2002,T_2003,T_2004,T_2005,T_2006,T_2007,T_2008,T_2009,T_2010,T_2011,T_2012,T_2013,T_2014,T_2015,T_2016,T_2017,M_1880,M_1881,M_1882,M_1883,M_1884,M_1885,M_1886,M_1887,M_1888,M_1889,M_1890,M_1891,M_1892,M_1893,M_1894,M_1895,M_1896,M_1897,M_1898,M_1899,M_1900,M_1901,M_1902,M_1903,M_1904,M_1905,M_1906,M_1907,M_1908,M_1909,M_1910,M_1911,M_1912,M_1913,M_1914,M_1915,M_1916,M_1917,M_1918,M_1919,M_1920,M_1921,M_1922,M_1923,M_1924,M_1925,M_1926,M_1927,M_1928,M_1929,M_1930,M_1931,M_1932,M_1933,M_1934,M_1935,M_1936,M_1937,M_1938,M_1939,M_1940,M_1941,M_1942,M_1943,M_1944,M_1945,M_1946,M_1947,M_1948,M_1949,M_1950,M_1951,M_1952,M_1953,M_1954,M_1955,M_1956,M_1957,M_1958,M_1959,M_1960,M_1961,M_1962,M_1963,M_1964,M_1965,M_1966,M_1967,M_1968,M_1969,M_1970,M_1971,M_1972,M_1973,M_1974,M_1975,M_1976,M_1977,M_1978,M_1979,M_1980,M_1981,M_1982,M_1983,M_1984,M_1985,M_1986,M_1987,M_1988,M_1989,M_1990,M_1991,M_1992,M_1993,M_1994,M_1995,M_1996,M_1997,M_1998,M_1999,M_2000,M_2001,M_2002,M_2003,M_2004,M_2005,M_2006,M_2007,M_2008,M_2009,M_2010,M_2011,M_2012,M_2013,M_2014,M_2015,M_2016,M_2017,F_1880,F_1881,F_1882,F_1883,F_1884,F_1885,F_1886,F_1887,F_1888,F_1889,F_1890,F_1891,F_1892,F_1893,F_1894,F_1895,F_1896,F_1897,F_1898,F_1899,F_1900,F_1901,F_1902,F_1903,F_1904,F_1905,F_1906,F_1907,F_1908,F_1909,F_1910,F_1911,F_1912,F_1913,F_1914,F_1915,F_1916,F_1917,F_1918,F_1919,F_1920,F_1921,F_1922,F_1923,F_1924,F_1925,F_1926,F_1927,F_1928,F_1929,F_1930,F_1931,F_1932,F_1933,F_1934,F_1935,F_1936,F_1937,F_1938,F_1939,F_1940,F_1941,F_1942,F_1943,F_1944,F_1945,F_1946,F_1947,F_1948,F_1949,F_1950,F_1951,F_1952,F_1953,F_1954,F_1955,F_1956,F_1957,F_1958,F_1959,F_1960,F_1961,F_1962,F_1963,F_1964,F_1965,F_1966,F_1967,F_1968,F_1969,F_1970,F_1971,F_1972,F_1973,F_1974,F_1975,F_1976,F_1977,F_1978,F_1979,F_1980,F_1981,F_1982,F_1983,F_1984,F_1985,F_1986,F_1987,F_1988,F_1989,F_1990,F_1991,F_1992,F_1993,F_1994,F_1995,F_1996,F_1997,F_1998,F_1999,F_2000,F_2001,F_2002,F_2003,F_2004,F_2005,F_2006,F_2007,F_2008,F_2009,F_2010,F_2011,F_2012,F_2013,F_2014,F_2015,F_2016,F_2017
Lyla,28294,0,28294,0,0,0,0,7,5,0,0,0,6,10,7,9,14,13,11,15,12,13,5,14,9,11,13,10,10,16,11,20,10,21,13,35,35,43,52,60,51,67,50,69,86,78,82,103,117,89,79,73,80,75,66,64,64,66,62,61,50,61,65,74,53,70,81,43,61,61,49,66,51,50,62,48,50,46,37,51,40,26,31,29,30,33,28,20,14,14,11,14,17,17,16,18,19,18,22,17,28,15,20,18,20,21,17,21,26,23,15,24,29,34,30,26,29,20,26,29,34,64,84,98,118,139,196,208,293,449,887,1507,2069,2289,2414,2223,2080,2379,2267,2219,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,6,10,7,9,14,13,11,15,12,13,5,14,9,11,13,10,10,16,11,20,10,21,13,35,35,43,52,60,51,67,50,69,86,78,82,103,117,89,79,73,80,75,66,64,64,66,62,61,50,61,65,74,53,70,81,43,61,61,49,66,51,50,62,48,50,46,37,51,40,26,31,29,30,33,28,20,14,14,11,14,17,17,16,18,19,18,22,17,28,15,20,18,20,21,17,21,26,23,15,24,29,34,30,26,29,20,26,29,34,64,84,98,118,139,196,208,293,449,887,1507,2069,2289,2414,2223,2080,2379,2267,2219,2251
Lara,26994,34,26960,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,5,5,5,7,0,0,0,6,0,8,7,7,6,8,12,10,6,6,14,19,15,17,13,18,15,18,15,20,26,21,24,15,17,18,19,13,10,13,15,18,11,11,10,12,13,9,7,13,8,15,12,17,15,17,20,19,19,29,18,31,22,32,35,49,55,61,78,57,65,237,951,1295,1360,1337,1053,830,661,600,637,776,660,560,500,577,583,626,519,507,487,538,540,558,477,448,379,352,275,287,260,270,242,258,278,261,336,402,349,359,319,321,290,292,287,301,278,313,295,337,344,378,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,5,5,5,7,0,0,0,6,0,8,7,7,6,8,12,10,6,6,14,19,15,12,13,18,15,18,15,20,26,21,24,15,17,18,19,13,10,13,15,18,11,11,10,12,13,9,7,13,8,15,12,17,15,17,20,19,19,29,18,31,22,32,35,49,55,61,78,57,65,237,945,1295,1354,1332,1053,830,661,600,637,776,660,560,500,577,583,626,513,507,487,538,540,558,477,442,379,352,275,287,260,270,242,258,278,261,336,402,349,359,319,321,290,292,287,301,278,313,295,337,344,378,363
River,23001,15944,7057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,5,7,0,0,0,0,0,6,6,0,0,0,5,13,18,40,43,40,44,66,153,303,305,434,488,413,365,395,396,460,520,568,686,693,858,898,896,936,1129,1315,1946,2458,2965,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,5,7,0,0,0,0,0,6,6,0,0,0,5,13,13,40,33,28,37,54,141,278,269,389,435,358,314,323,329,388,420,476,505,464,610,618,634,644,718,829,1240,1512,1841,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,12,7,12,12,25,36,45,53,55,51,72,67,72,100,92,181,229,248,280,262,292,411,486,706,946,1124,1166
Nia,21182,10,21172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,6,0,0,0,0,5,0,0,13,20,12,15,20,19,31,48,44,223,104,93,80,80,65,117,95,99,102,76,152,169,109,134,149,229,368,306,471,449,495,565,717,891,797,1033,1025,961,891,889,781,852,816,681,636,643,600,674,595,650,715,733,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,6,0,0,0,0,5,0,0,13,20,12,15,20,19,31,48,44,223,104,93,80,80,65,117,95,99,102,76,152,169,109,134,144,229,368,306,466,449,495,565,717,891,797,1033,1025,961,891,889,781,852,816,681,636,643,600,674,595,650,715,733,626
Phil,20026,19953,73,12,18,13,23,19,14,18,16,17,19,21,16,20,15,19,15,17,23,19,14,22,21,23,20,21,21,18,23,26,23,32,29,62,73,101,120,108,133,155,130,130,157,136,163,161,140,161,174,158,157,185,207,217,209,273,264,285,289,310,332,354,392,404,421,407,392,543,660,574,443,360,289,261,257,243,296,334,495,585,676,632,632,613,474,479,359,271,210,192,195,155,144,120,81,63,69,76,64,54,61,48,68,56,44,35,30,43,39,46,47,39,47,35,32,39,22,35,24,24,18,24,19,21,16,18,25,18,20,23,14,8,8,17,16,12,17,15,17,12,18,13,23,19,14,18,16,17,19,21,16,20,15,19,15,17,23,19,14,22,21,23,20,21,21,18,23,26,23,32,29,57,73,101,120,108,133,155,130,130,157,136,156,154,140,155,168,153,157,185,207,217,209,273,264,285,289,310,332,354,392,404,416,407,387,543,660,574,438,360,289,255,257,237,296,334,495,580,676,627,632,613,474,479,359,271,210,192,195,155,144,120,81,63,69,76,64,54,61,48,68,56,44,35,30,43,39,46,47,39,47,35,32,39,22,35,24,24,18,24,19,21,16,18,25,18,20,23,14,8,8,17,16,12,17,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,7,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finn,18797,18517,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,5,0,5,5,7,8,0,9,14,5,9,6,11,9,0,7,0,0,0,0,5,8,0,8,6,6,0,10,8,0,7,8,5,6,5,14,17,9,21,33,42,46,93,130,203,215,218,307,407,470,601,797,868,941,1103,1106,1226,1470,1600,1928,2317,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,5,0,5,5,7,8,0,9,14,5,9,6,11,9,0,7,0,0,0,0,5,8,0,8,6,6,0,10,8,0,7,8,5,6,5,14,17,9,21,33,42,46,93,124,192,209,213,299,399,458,592,783,848,919,1092,1090,1215,1454,1582,1902,2289,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,5,8,8,12,9,14,20,22,11,16,11,16,18,26,28,33
Ayla,18335,0,18335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,6,13,38,41,46,93,329,267,225,241,282,261,248,246,241,235,199,231,247,252,301,297,311,372,416,1232,862,796,793,913,921,1292,1105,1181,1201,1234,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,6,13,38,41,46,93,329,267,225,241,282,261,248,246,241,235,199,231,247,252,301,297,311,372,416,1232,862,796,793,913,921,1292,1105,1181,1201,1234,1346
Kirby,17697,14167,3530,0,5,6,8,0,14,10,7,6,0,12,7,10,9,8,8,10,13,9,7,13,8,8,5,7,8,5,12,9,13,13,18,25,30,38,59,55,67,52,54,60,58,62,67,71,53,77,52,59,71,67,50,70,68,74,68,82,97,74,96,114,126,142,148,118,115,210,222,208,208,236,252,279,298,333,276,354,377,357,368,360,302,288,264,241,226,198,204,196,180,158,299,282,160,153,152,125,139,100,107,111,119,85,378,509,352,291,269,338,349,329,320,342,316,251,226,246,180,169,142,122,123,92,81,83,72,75,84,66,72,74,76,78,71,71,83,75,78,0,5,6,8,0,14,10,7,6,0,12,7,10,9,8,8,10,13,9,7,13,8,8,5,7,8,5,12,9,13,13,18,25,30,38,59,55,59,52,54,60,58,62,61,71,48,77,52,59,71,67,50,64,59,74,68,82,97,74,96,102,120,136,139,110,106,192,209,199,197,226,247,265,288,326,271,343,357,342,343,346,290,276,254,228,214,187,192,191,173,149,290,266,151,146,145,118,129,89,107,105,111,77,146,142,127,130,117,186,196,167,177,194,173,136,129,131,115,100,86,73,82,64,54,60,50,53,64,49,47,50,51,48,44,40,55,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,5,0,0,0,0,0,0,6,9,0,0,0,0,0,0,12,6,6,9,8,9,18,13,9,11,10,5,14,10,7,5,11,20,15,25,14,12,12,10,13,12,11,12,5,7,9,9,16,9,7,7,7,10,11,0,6,8,8,232,367,225,161,152,152,153,162,143,148,143,115,97,115,65,69,56,49,41,28,27,23,22,22,20,17,25,24,25,30,27,31,28,31,33
Nova,16977,1285,15692,5,0,0,0,0,12,7,6,15,12,15,13,20,9,18,20,24,18,30,20,29,23,18,21,24,30,27,32,36,39,32,41,54,64,47,77,88,90,79,96,123,96,97,85,101,100,80,77,84,109,80,82,73,58,78,72,56,60,74,49,44,35,48,47,29,27,38,34,49,42,29,33,33,25,27,39,31,32,19,21,34,23,50,72,50,35,38,35,29,36,51,52,58,48,59,57,70,85,56,76,71,53,57,36,36,38,26,20,19,22,30,20,11,21,19,22,29,48,63,65,74,105,104,112,136,124,128,168,204,273,254,336,522,642,1234,1650,2428,3256,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,8,7,5,0,9,12,5,11,5,12,6,5,0,0,5,5,7,0,0,0,0,0,7,6,0,0,0,6,8,0,0,5,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,5,0,0,6,5,0,7,0,0,0,0,0,0,6,5,0,0,0,0,0,5,10,9,10,8,19,13,13,22,21,23,23,28,42,37,41,63,79,104,129,150,230,0,0,0,0,0,12,7,6,15,12,15,13,20,9,18,20,24,18,30,20,29,23,18,21,24,30,27,32,36,39,32,36,54,59,47,69,81,85,79,87,111,91,86,80,89,94,75,77,84,104,75,75,73,58,78,72,56,53,68,49,44,35,42,39,29,27,33,34,44,42,29,33,33,25,27,39,31,26,19,21,34,23,50,72,50,35,38,35,29,36,51,46,58,48,53,57,65,85,56,70,66,53,50,36,36,38,26,20,19,16,25,20,11,21,19,22,24,38,54,55,66,86,91,99,114,103,105,145,176,231,217,295,459,563,1130,1521,2278,3026
Queen,14610,31,14579,17,15,11,10,14,17,32,21,25,31,25,32,32,33,32,34,28,47,42,40,67,44,47,52,56,70,53,91,62,75,80,100,116,126,148,140,172,181,222,232,228,204,232,248,249,252,246,263,263,259,199,225,247,236,223,230,203,229,226,224,197,178,224,255,193,195,234,237,219,225,244,208,219,200,203,180,169,131,109,140,107,112,100,83,73,69,69,41,31,37,24,19,30,17,27,21,16,22,20,34,34,35,25,15,23,18,20,9,20,14,28,20,37,84,65,48,38,51,59,63,59,58,52,68,57,56,59,61,46,58,71,50,87,126,147,148,197,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,11,10,14,17,32,21,25,31,25,32,32,33,32,34,28,47,42,40,67,44,47,52,56,70,53,91,62,75,80,100,116,126,148,140,172,181,216,232,228,204,232,248,249,252,246,263,258,259,199,225,247,230,223,221,203,229,226,224,197,178,224,255,193,195,234,237,219,220,244,208,219,200,203,180,169,131,109,140,107,112,100,83,73,69,69,41,31,37,24,19,30,17,27,21,16,22,20,34,34,35,25,15,23,18,20,9,20,14,28,20,37,84,65,48,38,51,59,63,59,58,52,68,57,56,59,61,46,58,71,50,87,126,147,148,197,234
